Drug Name,1,2,3,4,5,6,7,8,9,10
5-ASA,TEVA/RTP/ACT,,,,,,,,,
Abacavir,APO,MINT,,,,,,,,
Abacavir / lamivudine,AURO,TEVA/RTP/ACT,MYLAN,,,,,,,
Abiraterone,MAR,PMS,JAMP,APO,,,,,,
Acarbose,MAR,,,,,,,,,
Acebutolol,APO,TEVA/RTP/ACT,,,,,,,,
Acetazolamide,AA,,,,,,,,,
Acetylcysteine Solution,SDZ,,,,,,,,,
Acetylsalicylic/butalbital/caffeine (Tecnal),TEVA/RTP/ACT,,,,,,,,,
Acitretin,TARO/RAN,MINT,,,,,,,,
Acyclovir,APO,MINT,MYLAN,,,,,,,
Acyclovir Oint,TARO/RAN,APO,,,,,,,,
Adapalene / Benzoyl Peroxide,TARO/RAN,SDZ,,,,,,,,
Adefovir,APO,,,,,,,,,
Afatinib,MAR,SDZ,,,,,,,,
Alendronate,APO,TEVA/RTP/ACT,JAMP,PMS,AURO,MINT,,,,
Alendronate/Vitamin D3,JAMP,APO,,,,,,,,
Alfacalcidol,SDZ,,,,,,,,,
Alfuzosin,APO,AURO,SDZ,,,,,,,
Allopurinol,MAR,APO,,,,,,,,
Almotriptan,SDZ,MYLAN,,,,,,,,
Alprazolam,TEVA/RTP/ACT,APO,,,,,,,,
Ambrisentan,APO,,,,,,,,,
Amcinonide,TARO/RAN,,,,,,,,,
Amiloride,AA,,,,,,,,,
Amiloride/HCTZ,AA,,,,,,,,,
Amiodarone,APO,TEVA/RTP/ACT,SDZ,PMS,JAMP,,,,,
Amiodarone Injection,SDZ,,,,,,,,,
Amitriptyline,MAR,PMS,JAMP,,,,,,,
Amlodipine,APO,TEVA/RTP/ACT,SDZ,JAMP,AURO,MAR,TARO/RAN,PRZ,MINT,PMS
Amlodipine/Atorvastatin,APO,MYLAN,,,,,,,,
Amoxicillin,TEVA/RTP/ACT,APO,AURO,PRZ,JAMP,,,,,
Amoxicillin / Clavulanate,SDZ,AURO,JAMP,APO,,,,,,
Amoxicillin / Clavulanate Susp,JAMP,,,,,,,,,
Amoxicillin Suspension,TEVA/RTP/ACT,JAMP,AURO,SDZ,APO,,,,,
Amphetamine XR,TEVA/RTP/ACT,APO,,,,,,,,
Ampicillin,TEVA/RTP/ACT,,,,,,,,,
Ampicillin Sodium Injection,TEVA/RTP/ACT,,,,,,,,,
Anagrelide,PMS,,,,,,,,,
Anastrozole,SDZ,MAR,TARO/RAN,APO,PMS,JAMP,TEVA/RTP/ACT,MINT,,
"Anusol HC (Anodan HC, Jampzinc HC)",JAMP,,,,,,,,,
Apixaban,APO,TARO/RAN,SDZ,JAMP,MAR,AURO,TEVA/RTP/ACT,MINT,,
Aripiprazole,APO,SDZ,JAMP,MINT,AURO,PMS,,,,
Ascorbic Acid Injection,SDZ,,,,,,,,,
Atazanavir,TEVA/RTP/ACT,MYLAN,JAMP,,,,,,,
Atenolol,TEVA/RTP/ACT,APO,MAR,PMS,TARO/RAN,MINT,JAMP,,,
Atenolol/Chlorthalidone,AA,,,,,,,,,
Atomoxetine,SDZ,AURO,APO,JAMP,TEVA/RTP/ACT,PMS,,,,
Atorvastatin,SDZ,TEVA/RTP/ACT,TARO/RAN,APO,AURO,MINT,PRZ,PMS,JAMP,MAR
Atovaquone/Proguanil,TEVA/RTP/ACT,MYLAN,,,,,,,,
Atropine Injection,SDZ,,,,,,,,,
Azathioprine,APO,TEVA/RTP/ACT,,,,,,,,
Azelastine/Fluticasone nasal,APO,MYLAN,,,,,,,,
Azilsartan,AURO,,,,,,,,,
Azithromycin,SDZ,MAR,APO,JAMP,PMS,,,,,
Azithromycin Susp,SDZ,AURO,,,,,,,,
Baclofen,PMS,APO,MYLAN,,,,,,,
Beclomethasone Nasal,APO,MYLAN,,,,,,,,
Benazepril,AA,,,,,,,,,
Benzoyl peroxide/clindamycin,TARO/RAN,,,,,,,,,
Benzydamine,PMS,,,,,,,,,
Betahistine,MINT,PMS,AURO,,,,,,,
"Betamethasone (Crm, Oint, Lot)",TEVA/RTP/ACT,TARO/RAN,,,,,,,,
Betamethasone / Calcipotriol Ointment,TEVA/RTP/ACT,TARO/RAN,,,,,,,,
Bezafibrate,JAMP,,,,,,,,,
Bicalutamide,TEVA/RTP,PMS,JAMP,,,,,,,
Bilastine,JAMP,SDZ,MAR,AURO,APO,,,,,
Bimatoprost,JAMP,,,,,,,,,
Bisoprolol,SDZ,TEVA/RTP/ACT,APO,JAMP,MINT,PRZ,,,,
Bortezomib Inj,SDZ,,,,,,,,,
Bosentan,TARO/RAN,PMS,,,,,,,,
Brimonidine / Timolol,JAMP,APO,,,,,,,,
Brimonidine Oph Solution,SDZ,JAMP,AA,,,,,,,
Brivaracetam,AURO,APO,,,,,,,,
Bromazepam,APO,TEVA/RTP/ACT,,,,,,,,
Bromfenac Oph,APO,,,,,,,,,
Bromocriptine,AA,,,,,,,,,
Budesonide Inh,TEVA/RTP/ACT,TARO/RAN,,,,,,,,
Budesonide Nasal,MYLAN,,,,,,,,,
Buprenorphine/Naloxone,TEVA/RTP/ACT,PMS,,,,,,,,
Bupropion SR,ODAN,,,,,,,,,
Bupropion XL,TARO/RAN,TEVA/RTP/ACT,,,,,,,,
Buspirone,TEVA/RTP/ACT,JAMP,PMS,AURO,MINT,APO,,,,
Butorphanol,AA,,,,,,,,,
Cabergoline,APO,JAMP,,,,,,,,
Calcitriol,TARO/RAN,,,,,,,,,
Canagliflozin,AURO,,,,,,,,,
Candesartan,SDZ,TEVA/RTP/ACT,TARO/RAN,APO,AURO,MINT,JAMP,PMS,,
Candesartan/HCT,SDZ,AURO,PMS,JAMP,,,,,,
Capecitabine,MINT,TARO/RAN,SDZ,,,,,,,
Captopril,TEVA/RTP/ACT,APO,,,,,,,,
Carbamazepine,TEVA/RTP/ACT,MINT,,,,,,,,
Carbamazepine Chewtabs,TARO/RAN,,,,,,,,,
Carbamazepine CR,SDZ,,,,,,,,,
Carvedilol,PMS,JAMP,AURO,TEVA/RTP/ACT,,,,,,
Cefadroxil,APO,JAMP,TEVA/RTP/ACT,,,,,,,
Cefazolin Sodium Injection,SDZ,TEVA/RTP/ACT,,,,,,,,
